iter	Logloss
0	0.6732655956
1	0.6559061898
2	0.6397932069
3	0.6260513275
4	0.612963307
5	0.6011406464
6	0.5911448967
7	0.5814850562
8	0.5735929171
9	0.5660145145
10	0.5594830708
11	0.553388408
12	0.5481753936
13	0.5432564329
14	0.5386614217
15	0.5343477442
16	0.5304214412
17	0.5274497093
18	0.5241287301
19	0.5209451093
20	0.517856917
21	0.5153535908
22	0.5130589569
23	0.5111625294
24	0.50915366
25	0.507440895
26	0.5053019018
27	0.5034873506
28	0.5022762285
29	0.5006043429
30	0.4990917597
31	0.4977411189
32	0.4966423487
33	0.495630215
34	0.4946022362
35	0.4935506107
36	0.4922822267
37	0.491427657
38	0.4905896247
39	0.4897630321
40	0.4889109641
41	0.4882266339
42	0.4874670938
43	0.4868846041
44	0.4861776471
45	0.485553344
46	0.4851044278
47	0.4846120693
48	0.4840556056
49	0.4834498081
50	0.4828574934
51	0.4822224704
52	0.4816640818
53	0.4812344279
54	0.4807370202
55	0.4802792759
56	0.4798758838
57	0.4794236207
58	0.4788234691
59	0.4785154897
60	0.4780915006
61	0.4777584137
62	0.4773386045
63	0.4770111759
64	0.4765005609
65	0.4760511357
66	0.4758415334
67	0.4754929385
68	0.4751145435
69	0.4747564745
70	0.474540005
71	0.4742229536
72	0.4738777854
73	0.4735283445
74	0.4732594399
75	0.4729772144
76	0.4725165781
77	0.4722779049
78	0.4719726511
79	0.4717464444
80	0.4714356174
81	0.4711198589
82	0.4708727142
83	0.4705092757
84	0.4702286029
85	0.4698282935
86	0.4695147493
87	0.4692563425
88	0.4689884171
89	0.4687017902
90	0.4684920368
91	0.4681817643
92	0.467934893
93	0.4677263718
94	0.4674229046
95	0.4671306869
96	0.4668057607
97	0.4665473707
98	0.466318035
99	0.466110826
100	0.4658415459
101	0.4656532949
102	0.4654365912
103	0.4651264935
104	0.4649707477
105	0.4647253547
106	0.4645102076
107	0.464333114
108	0.4641224376
109	0.4639460419
110	0.4637312146
111	0.4635475923
112	0.4633602351
113	0.4632031076
114	0.462997128
115	0.4627393722
116	0.4625520275
117	0.4623551413
118	0.4621441483
119	0.4619224365
120	0.4617456334
121	0.461570018
122	0.4613951946
123	0.461188237
124	0.4610381695
125	0.4609153738
126	0.460728798
127	0.4605451878
128	0.4604163336
129	0.4602705612
130	0.4600998301
131	0.4599623743
132	0.4597102481
133	0.4595979396
134	0.4594096709
135	0.4591775227
136	0.4589983682
137	0.4588218953
138	0.4586909213
139	0.4585381938
140	0.4582966555
141	0.4581210232
142	0.4580149576
143	0.4577689785
144	0.4576000587
145	0.457488887
146	0.4573864153
147	0.4571311142
148	0.4569825972
149	0.4568175058
150	0.456682114
151	0.456506531
152	0.4563355573
153	0.4561352143
154	0.4560429801
155	0.4559229456
156	0.45575174
157	0.4556091792
158	0.455423079
159	0.4553022702
160	0.4551578605
161	0.4550622125
162	0.4548844522
163	0.454749745
164	0.4545894928
165	0.454432863
166	0.4542998181
167	0.4541212258
168	0.4538955318
169	0.4538024239
170	0.453667792
171	0.4534859781
172	0.4533790707
173	0.4532611528
174	0.4531015355
175	0.4529547799
176	0.4527729912
177	0.4526047313
178	0.452485878
179	0.4523923325
180	0.4522612359
181	0.4521250352
182	0.4519723435
183	0.4516857135
184	0.4515929523
185	0.4514664638
186	0.4513146771
187	0.4512087446
